Date,stock_id,name,Yield(%),PE_Ratio,PB_Ratio
2026-02-25,2890,永豐金,3.82,17.7,1.98
2026-02-26,2890,永豐金,3.77,17.95,2.01
2026-03-02,2890,永豐金,3.81,17.76,1.99
2026-03-03,2890,永豐金,3.78,17.89,2.0
2026-03-04,2890,永豐金,3.99,16.92,1.89
2026-03-05,2890,永豐金,3.95,17.11,1.91
2026-03-06,2890,永豐金,3.95,17.11,1.91
2026-03-09,2890,永豐金,4.0,16.89,1.89
2026-03-10,2890,永豐金,3.99,16.92,1.89
2026-03-11,2890,永豐金,3.94,17.16,1.92
2026-03-12,2890,永豐金,3.92,17.24,1.93
2026-03-13,2890,永豐金,3.94,17.35,1.8
2026-03-16,2890,永豐金,3.97,17.21,1.79
2026-03-17,2890,永豐金,3.94,17.32,1.8
2026-03-18,2890,永豐金,3.9,17.51,1.82
2026-03-19,2890,永豐金,3.94,17.32,1.8
2026-03-20,2890,永豐金,3.89,17.57,1.82
2026-03-23,2890,永豐金,4.01,17.05,1.77
2026-03-24,2890,永豐金,3.99,17.1,1.78
2026-03-25,2890,永豐金,3.92,17.4,1.81
2026-03-26,2890,永豐金,3.96,17.24,1.79
2026-03-27,2890,永豐金,3.94,17.32,1.8
2026-03-30,2890,永豐金,4.23,16.8,1.74
2026-03-31,2890,永豐金,4.23,16.78,1.74
2026-04-01,2890,永豐金,4.1,17.32,1.8
2026-04-02,2890,永豐金,4.09,17.38,1.8
2026-04-07,2890,永豐金,4.02,17.65,1.83
2026-04-08,2890,永豐金,3.98,17.87,1.85
2026-04-09,2890,永豐金,3.93,18.09,1.88
2026-04-10,2890,永豐金,3.98,17.87,1.85
2026-04-13,2890,永豐金,3.98,17.87,1.85
2026-04-14,2890,永豐金,3.92,18.14,1.88
2026-04-15,2890,永豐金,3.9,18.2,1.89
2026-04-16,2890,永豐金,3.9,18.2,1.89
2026-04-17,2890,永豐金,3.98,17.87,1.85
2026-04-20,2890,永豐金,4.04,17.6,1.83
2026-04-21,2890,永豐金,4.11,17.3,1.8
2026-04-22,2890,永豐金,4.13,17.21,1.79
2026-04-23,2890,永豐金,4.12,17.24,1.79
2026-04-24,2890,永豐金,4.07,17.46,1.81
2026-04-27,2890,永豐金,4.09,17.35,1.8
2026-04-28,2890,永豐金,4.08,17.43,1.81
2026-04-29,2890,永豐金,4.08,17.43,1.81
2026-04-30,2890,永豐金,4.2,16.91,1.76
2026-05-04,2890,永豐金,4.26,16.69,1.73
2026-05-06,2890,永豐金,4.24,16.75,1.74
2026-05-07,2890,永豐金,4.21,16.89,1.75
2026-05-08,2890,永豐金,4.19,16.94,1.76
2026-05-11,2890,永豐金,4.25,16.72,1.74
