Date,stock_id,name,Yield(%),PE_Ratio,PB_Ratio
2026-02-25,2883,凱基金,4.55,16.59,1.25
2026-02-26,2883,凱基金,4.33,17.42,1.31
2026-03-02,2883,凱基金,4.49,16.79,1.26
2026-03-03,2883,凱基金,4.45,16.94,1.27
2026-03-04,2883,凱基金,4.77,15.79,1.19
2026-03-05,2883,凱基金,4.68,16.11,1.21
2026-03-06,2883,凱基金,4.66,16.19,1.22
2026-03-09,2883,凱基金,4.86,15.52,1.17
2026-03-10,2883,凱基金,4.77,15.79,1.19
2026-03-11,2883,凱基金,4.71,15.99,1.2
2026-03-12,2883,凱基金,4.75,15.87,1.19
2026-03-13,2883,凱基金,4.73,15.95,1.2
2026-03-16,2883,凱基金,4.63,12.65,1.16
2026-03-17,2883,凱基金,4.6,12.75,1.17
2026-03-18,2883,凱基金,4.6,12.75,1.17
2026-03-19,2883,凱基金,4.76,12.31,1.13
2026-03-20,2883,凱基金,4.73,12.41,1.14
2026-03-23,2883,凱基金,4.8,12.22,1.12
2026-03-24,2883,凱基金,4.8,12.22,1.12
2026-03-25,2883,凱基金,4.67,12.56,1.15
2026-03-26,2883,凱基金,4.8,12.22,1.12
2026-03-27,2883,凱基金,4.79,12.25,1.13
2026-03-30,2883,凱基金,4.9,11.98,1.1
2026-03-31,2883,凱基金,4.94,11.88,1.09
2026-04-01,2883,凱基金,4.8,12.22,1.12
2026-04-02,2883,凱基金,4.77,12.28,1.13
2026-04-07,2883,凱基金,4.62,12.69,1.16
2026-04-08,2883,凱基金,4.45,13.18,1.21
2026-04-09,2883,凱基金,4.46,13.15,1.21
2026-04-10,2883,凱基金,4.49,13.06,1.2
2026-04-13,2883,凱基金,4.51,12.99,1.19
2026-04-14,2883,凱基金,4.56,12.87,1.18
2026-04-15,2883,凱基金,4.58,12.81,1.18
2026-04-16,2883,凱基金,4.49,13.06,1.2
2026-04-17,2883,凱基金,4.53,12.93,1.19
2026-04-20,2883,凱基金,4.57,12.84,1.18
2026-04-21,2883,凱基金,4.59,12.78,1.17
2026-04-22,2883,凱基金,4.57,12.84,1.18
2026-04-23,2883,凱基金,4.7,12.47,1.15
2026-04-24,2883,凱基金,4.68,12.53,1.15
2026-04-27,2883,凱基金,4.63,12.65,1.16
2026-04-28,2883,凱基金,4.46,13.15,1.21
2026-04-29,2883,凱基金,4.61,13.4,1.23
2026-04-30,2883,凱基金,4.65,13.27,1.22
2026-05-04,2883,凱基金,4.67,13.21,1.21
2026-05-06,2883,凱基金,4.59,13.46,1.24
2026-05-07,2883,凱基金,4.45,13.86,1.27
2026-05-08,2883,凱基金,4.37,14.14,1.3
2026-05-11,2883,凱基金,4.39,14.07,1.29
2026-05-12,2883,凱基金,4.63,13.33,1.22
2026-05-13,2883,凱基金,4.56,13.55,1.24
2026-05-14,2883,凱基金,4.52,13.64,1.25
2026-05-15,2883,凱基金,4.58,13.49,1.24
2026-05-18,2883,凱基金,4.68,13.18,1.21
2026-05-19,2883,凱基金,4.62,13.36,1.23
2026-05-20,2883,凱基金,4.63,13.33,1.22
2026-05-21,2883,凱基金,4.67,13.21,1.21
2026-05-22,2883,凱基金,4.61,13.4,1.23
2026-05-25,2883,凱基金,4.62,13.36,1.23
2026-05-27,2883,凱基金,4.48,12.53,1.12
2026-05-28,2883,凱基金,4.51,12.44,1.11
2026-05-29,2883,凱基金,4.44,12.64,1.13
2026-06-01,2883,凱基金,4.42,12.72,1.13
2026-06-02,2883,凱基金,4.27,13.15,1.17
2026-06-03,2883,凱基金,3.89,14.44,1.29
2026-06-04,2883,凱基金,3.65,15.39,1.37
2026-06-05,2883,凱基金,3.62,15.51,1.38
2026-06-08,2883,凱基金,3.74,15.03,1.34
2026-06-09,2883,凱基金,3.44,16.32,1.45
2026-06-10,2883,凱基金,3.55,15.84,1.41
2026-06-11,2883,凱基金,3.6,15.59,1.39
2026-06-12,2883,凱基金,3.64,15.42,1.37
2026-06-15,2883,凱基金,3.47,16.18,1.44
2026-06-16,2883,凱基金,3.37,16.69,1.49
2026-06-17,2883,凱基金,3.31,16.97,1.51
2026-06-18,2883,凱基金,3.25,17.28,1.54
2026-06-22,2883,凱基金,3.29,17.05,1.52
2026-06-23,2883,凱基金,3.32,16.91,1.51
2026-06-24,2883,凱基金,3.36,16.74,1.49
2026-06-25,2883,凱基金,3.28,17.13,1.53
