Date,stock_id,name,Yield(%),PE_Ratio,PB_Ratio
2026-02-25,2887,台新新光金,3.61,25.15,1.39
2026-02-26,2887,台新新光金,3.52,25.86,1.43
2026-03-02,2887,台新新光金,3.62,25.1,1.39
2026-03-03,2887,台新新光金,3.56,25.56,1.41
2026-03-04,2887,台新新光金,3.73,24.39,1.35
2026-03-05,2887,台新新光金,3.67,24.8,1.37
2026-03-06,2887,台新新光金,3.69,24.65,1.36
2026-03-09,2887,台新新光金,3.76,24.19,1.34
2026-03-10,2887,台新新光金,3.7,24.55,1.36
2026-03-11,2887,台新新光金,3.7,24.6,1.36
2026-03-12,2887,台新新光金,3.65,24.9,1.38
2026-03-13,2887,台新新光金,3.64,17.43,1.34
2026-03-16,2887,台新新光金,3.63,17.46,1.35
2026-03-17,2887,台新新光金,3.59,17.64,1.36
2026-03-18,2887,台新新光金,3.66,17.32,1.34
2026-03-19,2887,台新新光金,3.68,17.22,1.33
2026-03-20,2887,台新新光金,3.65,17.36,1.34
2026-03-23,2887,台新新光金,3.77,16.83,1.3
2026-03-24,2887,台新新光金,3.73,17.01,1.31
2026-03-25,2887,台新新光金,3.68,17.22,1.33
2026-03-26,2887,台新新光金,3.73,17.01,1.31
2026-03-27,2887,台新新光金,3.74,16.94,1.31
2026-03-30,2887,台新新光金,3.79,16.73,1.29
2026-03-31,2887,台新新光金,3.89,16.3,1.26
2026-04-01,2887,台新新光金,3.74,16.94,1.31
2026-04-02,2887,台新新光金,3.7,17.15,1.32
2026-04-07,2887,台新新光金,3.7,17.15,1.32
2026-04-08,2887,台新新光金,3.64,17.39,1.34
2026-04-09,2887,台新新光金,3.65,17.36,1.34
2026-04-10,2887,台新新光金,3.67,17.29,1.33
2026-04-13,2887,台新新光金,3.73,17.01,1.31
2026-04-14,2887,台新新光金,3.68,17.22,1.33
2026-04-15,2887,台新新光金,3.66,17.32,1.34
2026-04-16,2887,台新新光金,3.61,17.57,1.35
2026-04-17,2887,台新新光金,3.7,17.11,1.32
2026-04-20,2887,台新新光金,3.71,17.08,1.32
2026-04-21,2887,台新新光金,3.76,16.87,1.3
2026-04-22,2887,台新新光金,3.76,16.87,1.3
2026-04-23,2887,台新新光金,3.8,16.69,1.29
2026-04-24,2887,台新新光金,3.76,16.87,1.3
2026-04-27,2887,台新新光金,3.78,16.76,1.29
2026-04-28,2887,台新新光金,3.69,17.18,1.32
2026-04-29,2887,台新新光金,4.57,16.94,1.31
2026-04-30,2887,台新新光金,4.62,16.76,1.29
2026-05-04,2887,台新新光金,4.68,16.55,1.28
2026-05-06,2887,台新新光金,4.64,16.69,1.29
2026-05-07,2887,台新新光金,4.58,16.9,1.3
2026-05-08,2887,台新新光金,4.62,16.76,1.29
2026-05-11,2887,台新新光金,4.69,16.51,1.27
2026-05-12,2887,台新新光金,4.78,16.2,1.25
2026-05-13,2887,台新新光金,4.75,16.3,1.26
2026-05-14,2887,台新新光金,4.76,16.27,1.25
2026-05-15,2887,台新新光金,4.62,16.76,1.29
2026-05-18,2887,台新新光金,4.69,16.51,1.27
2026-05-19,2887,台新新光金,4.66,16.62,1.28
2026-05-20,2887,台新新光金,4.6,16.83,1.3
2026-05-21,2887,台新新光金,4.61,16.8,1.29
2026-05-22,2887,台新新光金,4.62,16.76,1.29
