Date,stock_id,name,Yield(%),PE_Ratio,PB_Ratio
2026-02-25,2882,國泰金,4.55,15.17,1.4
2026-02-26,2882,國泰金,4.39,15.72,1.45
2026-03-02,2882,國泰金,4.49,15.36,1.41
2026-03-03,2882,國泰金,4.51,15.31,1.41
2026-03-04,2882,國泰金,4.78,14.44,1.33
2026-03-05,2882,國泰金,4.76,14.52,1.34
2026-03-06,2882,國泰金,4.79,14.4,1.33
2026-03-09,2882,國泰金,5.0,13.81,1.27
2026-03-10,2882,國泰金,4.92,14.02,1.29
2026-03-11,2882,國泰金,4.87,14.16,1.3
2026-03-12,2882,國泰金,4.83,14.3,1.32
2026-03-13,2882,國泰金,4.88,14.14,1.3
2026-03-16,2882,國泰金,4.83,10.95,1.26
2026-03-17,2882,國泰金,4.78,11.07,1.28
2026-03-18,2882,國泰金,4.77,11.1,1.28
2026-03-19,2882,國泰金,4.89,10.83,1.25
2026-03-20,2882,國泰金,4.86,10.89,1.26
2026-03-23,2882,國泰金,4.88,10.85,1.25
2026-03-24,2882,國泰金,4.94,10.71,1.24
2026-03-25,2882,國泰金,4.9,10.8,1.25
2026-03-26,2882,國泰金,4.94,10.71,1.24
2026-03-27,2882,國泰金,4.96,10.68,1.23
2026-03-30,2882,國泰金,4.97,10.65,1.23
2026-03-31,2882,國泰金,4.98,10.64,1.23
2026-04-01,2882,國泰金,4.87,10.88,1.26
2026-04-02,2882,國泰金,4.87,10.86,1.25
2026-04-07,2882,國泰金,4.87,10.88,1.26
2026-04-08,2882,國泰金,4.74,11.16,1.29
2026-04-09,2882,國泰金,4.76,11.13,1.28
2026-04-10,2882,國泰金,4.8,11.03,1.27
2026-04-13,2882,國泰金,4.86,10.89,1.26
2026-04-14,2882,國泰金,4.81,11.0,1.27
2026-04-15,2882,國泰金,4.8,11.03,1.27
2026-04-16,2882,國泰金,4.72,11.23,1.3
2026-04-17,2882,國泰金,4.67,11.35,1.31
2026-04-20,2882,國泰金,4.69,11.29,1.3
2026-04-21,2882,國泰金,4.64,11.42,1.32
2026-04-22,2882,國泰金,4.61,11.48,1.32
2026-04-23,2882,國泰金,4.68,11.32,1.31
2026-04-24,2882,國泰金,4.67,11.33,1.31
2026-04-27,2882,國泰金,4.7,11.27,1.3
2026-04-28,2882,國泰金,4.69,11.3,1.3
2026-04-29,2882,國泰金,4.45,11.89,1.37
2026-04-30,2882,國泰金,4.53,11.68,1.35
2026-05-04,2882,國泰金,4.59,11.53,1.33
2026-05-06,2882,國泰金,4.53,11.68,1.35
2026-05-07,2882,國泰金,4.43,11.95,1.38
2026-05-08,2882,國泰金,4.38,12.1,1.4
2026-05-11,2882,國泰金,4.46,11.86,1.37
2026-05-12,2882,國泰金,4.58,11.56,1.33
2026-05-13,2882,國泰金,4.53,11.69,1.35
2026-05-14,2882,國泰金,4.56,11.6,1.34
2026-05-15,2882,國泰金,4.49,11.79,1.36
