Date,stock_id,name,Yield(%),PE_Ratio,PB_Ratio
2026-02-25,2881,富邦金,4.57,11.77,1.5
2026-02-26,2881,富邦金,4.51,11.94,1.52
2026-03-02,2881,富邦金,4.57,11.79,1.5
2026-03-03,2881,富邦金,4.56,11.8,1.51
2026-03-04,2881,富邦金,4.73,11.38,1.45
2026-03-05,2881,富邦金,4.7,11.47,1.46
2026-03-06,2881,富邦金,4.79,11.25,1.44
2026-03-09,2881,富邦金,4.87,11.05,1.41
2026-03-10,2881,富邦金,4.81,11.19,1.43
2026-03-11,2881,富邦金,4.76,11.31,1.44
2026-03-12,2881,富邦金,4.75,11.33,1.45
2026-03-13,2881,富邦金,4.82,11.17,1.43
2026-03-16,2881,富邦金,4.79,11.46,1.41
2026-03-17,2881,富邦金,4.73,11.59,1.43
2026-03-18,2881,富邦金,4.75,11.55,1.42
2026-03-19,2881,富邦金,4.82,11.38,1.4
2026-03-20,2881,富邦金,4.8,11.43,1.41
2026-03-23,2881,富邦金,4.9,11.2,1.38
2026-03-24,2881,富邦金,4.88,11.24,1.38
